seed,accuracy
185,0.8068181818181818
186,0.8125
187,0.8125
188,0.8068181818181818
189,0.8181818181818182
190,0.8153409090909091
191,0.8153409090909091
192,0.8153409090909091
193,0.8125
194,0.8125
195,0.8125
196,0.8153409090909091
197,0.8125
198,0.8153409090909091
199,0.8153409090909091
200,0.8125
201,0.8181818181818182
202,0.8125
203,0.8125
204,0.8125
205,0.8096590909090909
206,0.8068181818181818
207,0.8153409090909091
208,0.8068181818181818
209,0.8125
210,0.8181818181818182
211,0.8210227272727273
212,0.8125
213,0.8210227272727273
214,0.8153409090909091
215,0.8153409090909091
216,0.8039772727272727
217,0.8210227272727273
218,0.8210227272727273
219,0.8125
220,0.8153409090909091
221,0.8125
222,0.8039772727272727
223,0.8210227272727273
224,0.8153409090909091
225,0.8181818181818182
226,0.8181818181818182
227,0.8096590909090909
228,0.8181818181818182
229,0.8181818181818182
230,0.8181818181818182
231,0.8096590909090909
232,0.8153409090909091
233,0.8153409090909091
234,0.8210227272727273
235,0.8210227272727273
236,0.8210227272727273
237,0.8181818181818182
238,0.8210227272727273
239,0.8210227272727273
240,0.8153409090909091
241,0.8153409090909091
242,0.8238636363636364
243,0.8153409090909091
244,0.8181818181818182
245,0.8125
246,0.8125
247,0.8153409090909091
248,0.8153409090909091
249,0.8096590909090909
250,0.8238636363636364
251,0.8267045454545454
252,0.8068181818181818
253,0.8096590909090909
254,0.8153409090909091
255,0.8153409090909091
256,0.8181818181818182
257,0.8238636363636364
258,0.8210227272727273
259,0.8125
260,0.8125
261,0.8153409090909091
262,0.8096590909090909
263,0.8153409090909091
264,0.8153409090909091
265,0.8125
266,0.8210227272727273
267,0.8181818181818182
268,0.8068181818181818
269,0.8153409090909091
270,0.8096590909090909
271,0.8125
272,0.8125
273,0.8210227272727273
274,0.8181818181818182
275,0.8238636363636364
276,0.8096590909090909
277,0.8153409090909091
278,0.8096590909090909
279,0.8096590909090909
280,0.8153409090909091
281,0.8096590909090909
282,0.8153409090909091
283,0.8210227272727273
284,0.8267045454545454
285,0.8096590909090909
286,0.8153409090909091
287,0.8096590909090909
288,0.8238636363636364
289,0.8153409090909091
