         6032 function calls (5989 primitive calls) in 2.882 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/copy.py:128(deepcopy)
       32    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
      6/4    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/utils/_array_api.py:237(_isdtype_single)
        2    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/base.py:255(set_params)
       99    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/enum.py:1095(__new__)
        2    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/_config.py:60(set_config)
        2    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/uuid.py:139(__init__)
       18    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/utils/_param_validation.py:75(<listcomp>)
       19    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/threading.py:1324(_make_invoke_excepthook)
        3    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/multiprocessing/queues.py:369(put)
       65    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
       99    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
     11/5    0.000    0.000    0.001    0.000 {built-in method builtins.next}
        3    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/threading.py:1051(_stop)
        6    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/base.py:229(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/treeple/_lib/sklearn/ensemble/_forest.py:1158(_validate_y_class_weight)
        3    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/multiprocessing/connection.py:182(send_bytes)
      131    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       18    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/_config.py:35(get_config)
        1    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
      186    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/inspect.py:2734(kind)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       99    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        4    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/utils/validation.py:381(_num_samples)
        1    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/multiprocessing/pool.py:945(_help_stuff_finish)
       70    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/utils/_tags.py:340(<genexpr>)
        4    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/threading.py:1125(_wait_for_tstate_lock)
        6    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/warnings.py:182(_add_filter)
        4    0.000    0.000    0.001    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/utils/_array_api.py:818(_asarray_with_order)
        3    0.000    0.000    0.000    0.000 {built-in method posix.write}
